Company Name,Funding Stage,Amount,Year Funded,Investor,Industry,Location
TheCollegeFever,Seed Round,250000,2018,Unknown,Marketing and Advertising,Bangalore
Happy Cow Dairy,Seed Round,955981,2018,Unknown,Agriculture and Food,Mumbai
MyLoanCare,Series A,5032439,2018,Unknown,Finance and FinTech,Gurgaon
PayMe India,Angel,2000000,2018,Unknown,Professional Services,Noida
Eunimart,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Hyderabad
Hasura,Seed Round,1600000,2018,Unknown,Technology,Bengaluru
Tripshelf,Seed Round,955981,2018,Unknown,Technology,Kalkaji
Hyperdata.IO,Angel,885000,2018,Unknown,Professional Services,Hyderabad
Freightwalla,Seed Round,955981,2018,Unknown,Professional Services,Mumbai
Microchip Payments,Seed Round,955981,2018,Unknown,Technology,Bangalore
BizCrum Infotech Pvt. Ltd.,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Delhi
Emojifi,Seed Round,955981,2018,Unknown,Technology,Bengaluru
Freshboxx,Seed Round,955981,2018,Unknown,Agriculture and Food,Hubli
Wide Mobility Mechatronics,Seed Round,955981,2018,Unknown,Industrial and Manufacturing,Bangalore
Pitstop,Seed Round,955981,2018,Unknown,Transportation and Mobility,Bengaluru
Mihuru,Seed Round,150000,2018,Unknown,Finance and FinTech,Mumbai
Fyle,Seed Round,1100000,2018,Unknown,Finance and FinTech,Bengaluru
AppWharf,Seed Round,955981,2018,Unknown,Technology,New Delhi
Antariksh Waste Ventures Pvt ltd,Seed Round,955981,2018,Unknown,Technology,Chennai
Cogoport,Series A,6000000,2018,Unknown,Transportation and Mobility,Mumbai
PaisaDukan,Seed Round,650000,2018,Unknown,Professional Services,Mumbai
Sleepy Owl Coffee,Seed Round,955981,2018,Unknown,Agriculture and Food,New Delhi
BlueJack,Seed Round,955981,2018,Unknown,Transportation and Mobility,Delhi
PregBuddy,Seed Round,955981,2018,Unknown,Technology,Bengaluru
AgNext Technologies,Series A,5032439,2018,Unknown,Agriculture and Food,Mohali
Pando,Seed Round,2000000,2018,Unknown,Transportation and Mobility,Chennai
Mintifi,Seed Round,2000000,2018,Unknown,Professional Services,Mumbai
Carcrew,Seed Round,2000000,2018,Unknown,Transportation and Mobility,Mumbai
NicheAI,Angel,885000,2018,Unknown,Technology,Hyderabad
Chariot Tech,Seed Round,955981,2018,Unknown,Technology,New Delhi
121Policy.com,Seed Round,1000000,2018,Unknown,Finance and FinTech,Kolkata
Loanzen,Seed Round,955981,2018,Unknown,Professional Services,Bangalore
Mojro Technologies,Seed Round,650000,2018,Unknown,Technology,Bengaluru
Elemential,Seed Round,1000000,2018,Unknown,Finance and FinTech,Mumbai
Loadshare,Series A,5000000,2018,Unknown,Industrial and Manufacturing,Bengaluru
Yumlane,Series A,4000000,2018,Unknown,Agriculture and Food,Mumbai
Kriger Campus,Seed Round,955981,2018,Unknown,Education,New Delhi
Pipa+Bella,Series A,1000000,2018,Unknown,E-Commerce and Retail,Mumbai
Kaleidofin,Seed Round,2800000,2018,Unknown,Professional Services,Chennai
Chakr Innovation,Seed Round,955981,2018,Unknown,Energy and Environment,New Delhi
IndigoLearn,Seed Round,150000,2018,Unknown,Education,Hyderabad
Coutloot,Seed Round,1000000,2018,Unknown,E-Commerce and Retail,Mumbai
Letstrack,Seed Round,1700000,2018,Unknown,Technology,New Delhi
Pooltoo,Seed Round,955981,2018,Unknown,Transportation and Mobility,New Delhi
Finzy,Seed Round,1300000,2018,Unknown,Professional Services,Bangalore
Fitternity,Seed Round,2000000,2018,Unknown,Healthcare and Wellness,Mumbai
Keito,Seed Round,955981,2018,Unknown,Technology,Pune
Tolet for Students,Seed Round,955981,2018,Unknown,Technology,Jodhpur
Chai Kings,Seed Round,955981,2018,Unknown,Agriculture and Food,Chennai
Dainik Jagran,Seed Round,955981,2018,Unknown,Media and Entertainment,Kanpur
Playtoome,Seed Round,955981,2018,Unknown,Media and Entertainment,Bengaluru
ONGO Framework,Angel,1000000,2018,Unknown,E-Commerce and Retail,Hyderabad
Notesgen,Seed Round,955981,2018,Unknown,Education,New Delhi
Arogya MedTech,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Kolkata
Propshop24,Seed Round,500000,2018,Unknown,E-Commerce and Retail,Mumbai
myUpchar,Series A,5000000,2018,Unknown,Healthcare and Wellness,New Delhi
MissMalini Entertainment,Seed Round,955981,2018,Unknown,Marketing and Advertising,Mumbai
ZestMoney,Series A,13400000,2018,Unknown,Technology,Bangalore
alphaics Corporation,Seed Round,955981,2018,Unknown,Technology,Bengaluru
MyDentistChoice,Seed Round,500000,2018,Unknown,Healthcare and Wellness,Hyderabad
Sattviko,Angel,885000,2018,Unknown,Agriculture and Food,New Delhi
Sensibull,Seed Round,955981,2018,Unknown,Technology,Bangalore
Bombay Shaving Company,Series A,5032439,2018,Unknown,E-Commerce and Retail,New Delhi
MedCords,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Pune
University Living,Seed Round,955981,2018,Unknown,Education,New Delhi
&ME,Seed Round,955981,2018,Unknown,Agriculture and Food,Bangalore
Enakshi,Seed Round,955981,2018,Unknown,Consumer Goods,Ahmedabad
Ultraviolette Automotive,Series A,5032439,2018,Unknown,Transportation and Mobility,Bangalore
Inthree Access,Series A,4000000,2018,Unknown,Professional Services,Chennai
BUGWORKS Research India,Series A,9000000,2018,Unknown,Healthcare and Wellness,Bangalore
Guardian.in,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Mumbai
PrestLoans,Seed Round,100000,2018,Unknown,Finance and FinTech,New Delhi
Wimoxez,Seed Round,20000,2018,Unknown,Technology,Hyderabad
India Accelerator,Angel,885000,2018,Unknown,Technology,Gurgaon
HappyEMI,Seed Round,1000000,2018,Unknown,E-Commerce and Retail,Bangalore
Wishup,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Azadpur
Hansel.io,Series A,4000000,2018,Unknown,Technology,Bangalore
Propelld,Seed Round,250000,2018,Unknown,Education,Bengaluru
PivotRoots,Series A,5032439,2018,Unknown,Marketing and Advertising,Mumbai
ZiffyHomes,Seed Round,120000,2018,Unknown,E-Commerce and Retail,New Delhi
Carmesi,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Gurgaon
OckyPocky,Angel,885000,2018,Unknown,Education,Haryana
Racetrack,Seed Round,955981,2018,Unknown,Technology,Bangalore
WHR,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Pune
Asteria Aerospace,Seed Round,955981,2018,Unknown,Transportation and Mobility,Bangalore
FabAlley,Series B,2500000,2018,Unknown,E-Commerce and Retail,Noida
Tranzmeo,Pre-Seed,6671339,2018,Unknown,Technology,Cochin
SBI Life,Private Equity,193500000,2018,Unknown,Finance and FinTech,Mumbai
Studds Accessories,Private Equity,193500000,2018,Unknown,E-Commerce and Retail,Faridabad
Design Cafe,Series B,2500000,2018,Unknown,Real Estate and Construction,Bengaluru
NoPaperForms Solutions Pvt. Ltd.,Series B,2500000,2018,Unknown,Education,New Delhi
Rays Power Infra,Venture - Series Unknown,17932500,2018,Unknown,Energy and Environment,Jaipur
AuthMetrik,Grant,11262932,2018,Unknown,E-Commerce and Retail,Gurgaon
Khidki,Seed Round,955981,2018,Unknown,Technology,Bangalore
